view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 118405}]",118405,instructions,0,118409,0.0-0.0,anon_subject_153,659f04805339f753c1b65235,65a05a7a6451f41271c335ac,0.29939097638608025,instructions,session-65a05bd004480
"[{'page_index': 0, 'viewing_time': 25544}]",25545,instructions,0,25550,0.0-0.0,anon_subject_20,659f04805339f753c1b65235,65a03f9afbe002ebe6cd90eb,0.7855397335322527,instructions,session-65a040818c85e
"[{'page_index': 0, 'viewing_time': 42542}]",42543,instructions,0,42547,0.0-0.0,anon_subject_234,659f04805339f753c1b65235,65a02bb95f6b46129434f096,0.35162161587616536,instructions,session-65a02cb5d867d
"[{'page_index': 0, 'viewing_time': 1529}]",1529,instructions,0,1529,0.0-0.0,anon_subject_13,659f04805339f753c1b65235,65a0470cb70cd6898be5c4b4,0.17572265766989936,instructions,session-65a047712d1f3
"[{'page_index': 0, 'viewing_time': 19264}]",19265,instructions,0,19270,0.0-0.0,anon_subject_258,659f04805339f753c1b65235,65a02b49c799135a5fbddad4,0.5090755799922926,instructions,session-65a02c1eef806
"[{'page_index': 0, 'viewing_time': 16130}]",16130,instructions,0,16139,0.0-0.0,anon_subject_279,659f04805339f753c1b65235,65a03f90f26ea2d9988b753b,0.4453762110642303,instructions,session-65a0400a61353
"[{'page_index': 0, 'viewing_time': 8899}]",8899,instructions,0,8903,0.0-0.0,anon_subject_91,659f04805339f753c1b65235,65a03ed5363e8fc9b18a7eb3,0.660096675978014,instructions,session-65a03f362aff1
"[{'page_index': 0, 'viewing_time': 470936}]",470938,instructions,0,470943,0.0-0.0,anon_subject_128,659f04805339f753c1b65235,65a0474cd96f47480f33e5c0,0.02398083019733588,instructions,session-65a04993420b1
"[{'page_index': 0, 'viewing_time': 47665}]",47665,instructions,0,47665,0.0-0.0,anon_subject_254,659f04805339f753c1b65235,65a05b6115177d3861dbec3f,0.07790554074160405,instructions,session-65a05c1864ec6
"[{'page_index': 0, 'viewing_time': 26621}]",26621,instructions,0,26624,0.0-0.0,anon_subject_276,659f04805339f753c1b65235,65a047ae9066460e83748fd6,0.527510709597748,instructions,session-65a048afa58a6
"[{'page_index': 0, 'viewing_time': 31286}]",31287,instructions,0,31300,0.0-0.0,anon_subject_244,659f04805339f753c1b65235,65a05a5a731e49bdea1b9600,0.38751929832980925,instructions,session-65a05bd000657
"[{'page_index': 0, 'viewing_time': 12854}]",12854,instructions,0,12866,0.0-0.0,anon_subject_181,659f04805339f753c1b65235,65a03f701ffc042b4f545c75,0.26518176603136623,instructions,session-65a03fec09389
"[{'page_index': 0, 'viewing_time': 53044}]",53044,instructions,0,53048,0.0-0.0,anon_subject_107,659f04805339f753c1b65235,65a03f783e71fc9f72cd91c7,0.5210110424534102,instructions,session-65a04033a0ec5
"[{'page_index': 0, 'viewing_time': 43548}]",43549,instructions,0,43566,0.0-0.0,anon_subject_133,659f04805339f753c1b65235,65a04749f51e8f6fd7a743a3,0.5104510701590899,instructions,session-65a048bb4a52b
"[{'page_index': 0, 'viewing_time': 16276}]",16276,instructions,0,16284,0.0-0.0,anon_subject_290,659f04805339f753c1b65235,65a03f302159acf46857ff8d,0.26138414994028847,instructions,session-65a04067edcbf
