"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","condition","probable","improbable",0,2.54766099864984,0.919338729953614,4.17598326734607,0.000172,"***"
"2","condition","probable","impossible_physics",0,5.62754520921783,3.9992229405216,7.25586747791406,0,"****"
"3","condition","probable","impossible_magic",0,7.16434230405526,5.53602003535903,8.7926645727515,0,"****"
"4","condition","probable","inconceivable_semantic",0,8.00415923239973,6.3758369637035,9.63248150109596,0,"****"
"5","condition","probable","inconceivable_syntactic",0,11.322087347554,9.6937650788578,12.9504096162503,0,"****"
"6","condition","improbable","impossible_physics",0,3.07988421056798,1.45156194187175,4.70820647926421,2.51e-06,"****"
"7","condition","improbable","impossible_magic",0,4.61668130540542,2.98835903670919,6.24500357410165,9.13e-13,"****"
"8","condition","improbable","inconceivable_semantic",0,5.45649823374989,3.82817596505366,7.08482050244612,0,"****"
"9","condition","improbable","inconceivable_syntactic",0,8.77442634890419,7.14610408020796,10.4027486176004,0,"****"
"10","condition","impossible_physics","impossible_magic",0,1.53679709483744,-0.0915251738587941,3.16511936353367,0.0765,"ns"
"11","condition","impossible_physics","inconceivable_semantic",0,2.3766140231819,0.748291754485673,4.00493629187813,0.000586,"***"
"12","condition","impossible_physics","inconceivable_syntactic",0,5.6945421383362,4.06621986963997,7.32286440703243,0,"****"
"13","condition","impossible_magic","inconceivable_semantic",0,0.839816928344467,-0.788505340351763,2.4681391970407,0.673,"ns"
"14","condition","impossible_magic","inconceivable_syntactic",0,4.15774504349877,2.52942277480254,5.786067312195,1.06e-10,"****"
"15","condition","inconceivable_semantic","inconceivable_syntactic",0,3.3179281151543,1.68960584645807,4.94625038385053,3.18e-07,"****"
