"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","condition","probable","improbable",0,2.49702359568715,0.734603616013054,4.25944357536124,0.000945,"***"
"2","condition","probable","impossible_physics",0,4.75374738201498,2.99132740234089,6.51616736168908,9.61e-12,"****"
"3","condition","probable","impossible_magic",0,6.27901914401227,4.51659916433817,8.04143912368636,0,"****"
"4","condition","probable","inconceivable_semantic",0,7.08229219540953,5.31987221573544,8.84471217508363,0,"****"
"5","condition","probable","inconceivable_syntactic",0,10.3317475599547,8.56932758028062,12.0941675396288,0,"****"
"6","condition","improbable","impossible_physics",0,2.25672378632784,0.494303806653742,4.01914376600193,0.00401,"**"
"7","condition","improbable","impossible_magic",0,3.78199554832512,2.01957556865103,5.54441552799921,6.46e-08,"****"
"8","condition","improbable","inconceivable_semantic",0,4.58526859972238,2.82284862004829,6.34768857939648,4.77e-11,"****"
"9","condition","improbable","inconceivable_syntactic",0,7.83472396426757,6.07230398459347,9.59714394394166,0,"****"
"10","condition","impossible_physics","impossible_magic",0,1.52527176199728,-0.237148217676809,3.28769174167138,0.132,"ns"
"11","condition","impossible_physics","inconceivable_semantic",0,2.32854481339455,0.566124833720455,4.09096479306864,0.00264,"**"
"12","condition","impossible_physics","inconceivable_syntactic",0,5.57800017793973,3.81558019826564,7.34042015761383,2.33e-15,"****"
"13","condition","impossible_magic","inconceivable_semantic",0,0.803273051397264,-0.95914692827683,2.56569303107136,0.777,"ns"
"14","condition","impossible_magic","inconceivable_syntactic",0,4.05272841594245,2.29030843626835,5.81514839561654,6.19e-09,"****"
"15","condition","inconceivable_semantic","inconceivable_syntactic",0,3.24945536454518,1.48703538487109,5.01187534421928,4.83e-06,"****"
